Library,Issue link,id,Buggy API,Bug Type,Release,Created Time,Agreement(round 2),Description,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-xrp2-fhq4-4q3w,1,tf.histogram_fixed_width,segfault,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-cwpm-f78v-7m5c,1,tf.ragged.constant,memory consumption,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-hx9q-2mx4-m4pg,1,tf.strings.unsorted_segment_join,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2r2f-g8mw-9gvr,1,tf.raw_ops.EditDistance,segfault,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-jjm6-4vf7-cjh4,1,tf.raw_ops.SpaceToBatchND,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-pqhm-4wvf-2jg8,1,tf.raw_ops.QuantizedConv2D,undefined behavior,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-rc9w-5c64-9vqq,1,tf.raw_ops.SparseTensorDenseAdd,undefined behavior,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-5wpj-c6f7-24x8,1,tf.raw_ops.QueueIsClosedV2,nullptr dereference,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-5wpj-c6f7-24x8,1,tf.summary.flush,nullptr dereference,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-5v77-j66x-4c4g,1,tf.raw_ops.Conv3DBackpropFilterV2,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2vv3-56qg-g2cf,1,tf.raw_ops.LSTMBlockCell,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mg66-qvc5-rm93,1,tf.raw_ops.SparseTensorToCSRSparseMatrix,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-p9rc-rmr5-529j,1,tf.raw_ops.LoadAndRemapMatrix,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-hrg5-737c-2p56,1,tf.raw_ops.UnsortedSegmentJoin,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h48f-q7rw-hvr7,1,tf.raw_ops.StagePeek,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-fv25-wrff-wf86,1,tf.raw_ops.GetSessionTensor,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h5g4-ppwx-48q2,1,tf.raw_ops.DeleteSessionTensor,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h2wq-prv9-2f56,1,tf.raw_ops.QuantizeAndDequantizeV4Grad,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2p9q-h29j-3f5v,1,tf.raw_ops.TensorSummaryV2 ,check failure,2.8.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-43q8-3fv7-pr5x,1,tf.sparse.split,check failure,2.7.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-x4qx-4fjv-hmw6,1,tf.raw_ops.SparseCountSparseOutput,check failure,2.7.0,,,,
Tensorflow,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-3mw4-6rj6-74g5,1,tf.raw_ops.QuantizedMaxPool,nullptr dereference,2.7.0,,,,
