Library,Issue link,id,Buggy API,Bug Type,Release,Created Time,Agreement(round 2),Description,
pytorch,https://github.com/pytorch/pytorch/issues/48400,1,torch.nn.ConvTranspose3d,inconsistent result,1.7.0,2020-11-23T19:00:17Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/76617,1,torch.nn.Unfold,RuntimeError,1.10.0,2022-04-30T11:49:08Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/70701,1,torch.nn.AdaptiveAvgPool1d,INTERNAL ASSERT FAILED,1.10.1,2022-01-05T15:14:11Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/67481,1,torch.nn.BatchNorm2d,RuntimeError,1.9.0,2021-10-28T21:07:25Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77838,1,torch.nn.Conv2d,RuntimeError,1.12.0,2022-05-19T08:28:27Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/53094,1,torch.nn.Conv2d,performance bug,1.7.1,2021-03-02T07:21:11Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77818,1,torch.nn.Conv3d,RuntimeError,1.12.0,2022-05-19T01:46:03Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/57115,1,torch.nn.Conv3D,inconsistent result,1.8.0,2021-04-28T09:57:00Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/47341,1,torch.nn.ConvTranspose1d,performance bug,1.6.0,2020-11-04T06:41:49Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78064,1,torch.nn.CosineSimilarity,RuntimeError,1.10.2,2022-05-22T19:57:02Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/56542,1,torch.nn.CrossEntropyLoss,inconsistent result,1.7.1,2021-04-20T21:49:26Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/62545,1,torch.nn.functional.max_pool2d,RuntimeError,1.10.0,2021-08-01T07:31:00Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77167,1,torch.nn.functional.pad,INTERNAL ASSERT FAILED,1.11.0,2022-05-10T15:11:31Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/53392,1,torch.nn.GaussianNLLLoss,RuntimeError,1.8.0,2021-03-05T18:57:11Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77415,1,torch.nn.Linear,RuntimeError,1.11.0,2022-05-13T13:51:41Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/55607,1,torch.nn.Module,memory leak,1.8.0,2021-04-08T12:08:04Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/47336,1,torch.nn.ModuleList,RuntimeError,1.7.0,2020-11-04T03:42:11Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/50804,1,torch.nn.MultiheadAttention,Segmentation fault,1.7.1,2021-01-20T11:43:49Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/55375,1,torch.nn.parallel.DataParallel,RuntimeError,1.8.1,2021-04-06T13:32:17Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/68377,1,torch.nn.RNN,RuntimeError,1.10.0,2021-11-15T19:51:36Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71288,1,tensor.is_contiguous,error,1.10.0,2022-01-13T23:51:05Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/51872,1,Tensor.nonzero,memory leak,1.7.1,2021-02-08T14:17:19Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/49460,1,torch.jit.load,Segmentation fault,1.7.1,2020-12-16T15:17:05Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78255,1,torch._C._torch.nn._conv_depthwise2d,Floating point exception,1.11,2022-05-25T14:33:08Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73185,1,torch._C._torch.nn.fractional_max_pool2d,Segmentation fault,1.9.0,2022-02-21T17:30:40Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73186,1,torch._C._torch.nn.fractional_max_pool3d,Segmentation fault,1.9.0,2022-02-21T17:31:43Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78126,1,torch._C._torch.nn.max_unpool3d,Segmentation fault,1.11.0,2022-05-23T21:00:57Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78127,1,torch._C._torch.nn.reflection_pad2d,Segmentation fault,1.11.0,2022-05-23T21:05:18Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77901,1,torch._C._torch.nn.slow_conv_transpose3d,crash,1.11.0,2022-05-19T21:23:21Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77900,1,torch._C._torch.nn.slow_conv3d,Floating point exception,1.11.0,2022-05-19T21:23:17Z,0,api: torch._C._torch.nn.slow_conv3d,
pytorch,https://github.com/pytorch/pytorch/issues/78128,1,torch._C._torch.nn.thnn_conv2d,Segmentation fault,1.11.0,2022-05-23T21:06:50Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78129,1,torch._embedding_bag_forward_only,Segmentation fault,1.11.0,2022-05-23T21:09:16Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78130,1,torch._grid_sampler_2d_cpu_fallback,Segmentation fault,1.11.0,2022-05-23T21:10:35Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73179,1,torch._nnpack_spatial_convolution,Floating point exception,1.9.0,2022-02-21T17:23:42Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/78131,1,torch._pad_packed_sequence,Segmentation fault,1.11.0,2022-05-23T21:11:42Z,0,Segmentation fault,
pytorch,https://github.com/pytorch/pytorch/issues/50038,1,torch._remove_batch_dim,crash,1.7.0,2021-01-04T11:46:43Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/77893,1,torch._remove_batch_dim,Segmentation fault,1.11.0,2022-05-19T21:22:41Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73180,1,torch._sobol_engine_ff_,Segmentation fault,1.9.0,2022-02-21T17:25:46Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73181,1,torch._sobol_engine_initialize_state_,Segmentation fault,1.9.0,2022-02-21T17:26:58Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/73182,1,torch._sobol_engine_scramble_,Segmentation fault,1.9.0,2022-02-21T17:28:15Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/71912,1,torch._sources.normalize_source_lines(),UnboundLocalError,1.9.0,2022-01-27T13:46:02Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/49178,1,torch.addcmul,feature request,1.7.1,2020-12-10T19:05:59Z,,,
pytorch,https://github.com/pytorch/pytorch/issues/48900,1,torch.addmm,inconsistent result,1.7.0,2020-12-06T17:36:49Z,,,
