"tf.DeviceSpec(
    job=None, replica=None, task=None, device_type=None, device_index=None
)
","Traceback (most recent call last):
  File ""/media/nimashiri/SSD/FSE23_2/example.py"", line 4, in <module>
    device_spec = DeviceSpec(job=""ps"", device_type=""GPU"", device_index=0)
NameError: name 'DeviceSpec' is not defined
"
"tf.GradientTape(
    persistent=False, watch_accessed_variables=True
)
","Traceback (most recent call last):
  File ""/media/nimashiri/SSD/FSE23_2/example.py"", line 10, in <module>
    tf.Tensor(6.0, shape=(), dtype=float32)
NameError: name 'float32' is not defined
"
"tf.OptionalSpec(
    element_spec
)
","Traceback (most recent call last):
  File ""/media/nimashiri/SSD/FSE23_2/example.py"", line 13, in <module>
    tf.Tensor(25, shape=(), dtype=int32)
NameError: name 'int32' is not defined
"
"tf.RegisterGradient(
    op_type
)
","Traceback (most recent call last):
  File ""/media/nimashiri/SSD/FSE23_2/example.py"", line 5, in <module>
    def _sub_grad(unused_op, grad):
  File ""/home/nimashiri/anaconda3/envs/tf-2.9/lib/python3.9/site-packages/tensorflow/python/framework/ops.py"", line 2781, in __call__
    gradient_registry.register(f, self._op_type)
  File ""/home/nimashiri/anaconda3/envs/tf-2.9/lib/python3.9/site-packages/tensorflow/python/framework/registry.py"", line 57, in register
    raise KeyError(
KeyError: ""Registering two gradient with name 'Sub'! (Previous registration was in register /home/nimashiri/anaconda3/envs/tf-2.9/lib/python3.9/site-packages/tensorflow/python/framework/registry.py:65)""
"
"tf.Tensor(
    op, value_index, dtype
)
","  File ""/media/nimashiri/SSD/FSE23_2/example.py"", line 9
    [[1. 3.]
         ^
SyntaxError: invalid syntax
"
"tf.TensorArray(
    dtype,
    size=None,
    dynamic_size=None,
    clear_after_read=None,
    tensor_array_name=None,
    handle=None,
    flow=None,
    infer_shape=True,
    element_shape=None,
    colocate_with_first_write_call=True,
    name=None
)
","  File ""/media/nimashiri/SSD/FSE23_2/example.py"", line 9
    <tf.Tensor: shape=(), dtype=float32, numpy=10.0>
    ^
SyntaxError: invalid syntax
"
"tf.TensorSpec(
    shape,
    dtype=tf.dtypes.float32,
    name=None
)
","  File ""/media/nimashiri/SSD/FSE23_2/example.py"", line 4
    experimental_as_proto() -> struct_pb2.TensorSpecProto
                            ^
SyntaxError: invalid syntax
"
"tf.Variable(
    initial_value=None,
    trainable=None,
    validate_shape=True,
    caching_device=None,
    name=None,
    variable_def=None,
    dtype=None,
    import_scope=None,
    constraint=None,
    synchronization=tf.VariableSynchronization.AUTO,
    aggregation=tf.compat.v1.VariableAggregation.NONE,
    shape=None,
    experimental_enable_variable_lifting=True
)
","  File ""/media/nimashiri/SSD/FSE23_2/example.py"", line 6
    <tf.Variable ... shape=() dtype=float32, numpy=2.0>
    ^
SyntaxError: invalid syntax
"
"tf.math.abs(
    x, name=None
)
","  File ""/media/nimashiri/SSD/FSE23_2/example.py"", line 6
    <tf.Tensor: shape=(2,), dtype=float32,
    ^
SyntaxError: invalid syntax
"
"tf.math.acos(
    x, name=None
)
","  File ""/media/nimashiri/SSD/FSE23_2/example.py"", line 6
    <tf.Tensor: shape=(6,), dtype=float32,
    ^
SyntaxError: invalid syntax
"
