API,Description,Example
"tf.CriticalSection(
    name=None, shared_name=None, critical_section_def=None, import_scope=None
)
",[],"v = resource_variable_ops.ResourceVariable(0.0, name=""v"")

def count():
  value = v.read_value()
  with tf.control_dependencies([value]):
    with tf.control_dependencies([v.assign_add(1)]):
      return tf.identity(value)
"
"tf.DeviceSpec(
    job=None, replica=None, task=None, device_type=None, device_index=None
)
",[],"# Place the operations on device ""GPU:0"" in the ""ps"" job.
device_spec = DeviceSpec(job=""ps"", device_type=""GPU"", device_index=0)
with tf.device(device_spec.to_string()):
  # Both my_var and squared_var will be placed on /job:ps/device:GPU:0.
  my_var = tf.Variable(..., name=""my_variable"")
  squared_var = tf.square(my_var)
"
"tf.GradientTape(
    persistent=False, watch_accessed_variables=True
)
",[],"x = tf.constant(3.0)
with tf.GradientTape() as g:
  g.watch(x)
  y = x * x
dy_dx = g.gradient(y, x)
print(dy_dx)
tf.Tensor(6.0, shape=(), dtype=float32)"
"tf.IndexedSlices(
    values, indices, dense_shape=None
)
",[],"dense[slices.indices[i], :, :, :, ...] = slices.values[i, :, :, :, ...]
"
"tf.IndexedSlicesSpec(
    shape=None,
    dtype=tf.dtypes.float32,
    indices_dtype=tf.dtypes.int64,
    dense_shape_dtype=None,
    indices_shape=None
)
","[['Type specification for a ', 'tf.IndexedSlices', '.'], ['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","experimental_as_proto() -> struct_pb2.TypeSpecProto
"
"tf.Operation(
    node_def,
    g,
    inputs=None,
    output_types=None,
    control_inputs=None,
    input_types=None,
    original_op=None,
    op_def=None
)
",[],"colocation_groups()
"
"tf.OptionalSpec(
    element_spec
)
","[['Type specification for ', 'tf.experimental.Optional', '.'], ['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","@tf.function(input_signature=[tf.OptionalSpec(
  tf.TensorSpec(shape=(), dtype=tf.int32, name=None))])
def maybe_square(optional):
  if optional.has_value():
    x = optional.get_value()
    return x * x
  return -1
optional = tf.experimental.Optional.from_value(5)
print(maybe_square(optional))
tf.Tensor(25, shape=(), dtype=int32)"
"tf.ragged.constant([[0], [1, 2]]).shape","[[None, '\n'], ['A ', 'RaggedTensor', ' is a tensor with one or more ', 'ragged dimensions', ', which are\ndimensions whose slices may have different lengths.  For example, the inner\n(column) dimension of ', 'rt=[[3, 1, 4, 1], [], [5, 9, 2], [6], []]', ' is ragged,\nsince the column slices (', 'rt[0, :]', ', ..., ', 'rt[4, :]', ') have different lengths.\nDimensions whose slices all have the same length are called ', 'uniform\ndimensions', '.  The outermost dimension of a ', 'RaggedTensor', ' is always uniform,\nsince it consists of a single slice (and so there is no possibility for\ndiffering slice lengths).'], ['The total number of dimensions in a ', 'RaggedTensor', ' is called its ', 'rank', ',\nand the number of ragged dimensions in a ', 'RaggedTensor', ' is called its\n', 'ragged-rank', '.  A ', 'RaggedTensor', ""'s ragged-rank is fixed at graph creation\ntime: it can't depend on the runtime values of "", 'Tensor', ""s, and can't vary\ndynamically for different session runs.""], ['Note that the ', '__init__', ' constructor is private. Please use one of the\nfollowing methods to construct a ', 'RaggedTensor', ':'], ['\n', 'tf.RaggedTensor.from_row_lengths', '\n', 'tf.RaggedTensor.from_value_rowids', '\n', 'tf.RaggedTensor.from_row_splits', '\n', 'tf.RaggedTensor.from_row_starts', '\n', 'tf.RaggedTensor.from_row_limits', '\n', 'tf.RaggedTensor.from_nested_row_splits', '\n', 'tf.RaggedTensor.from_nested_row_lengths', '\n', 'tf.RaggedTensor.from_nested_value_rowids', '\n'], ['Many ops support both ', 'Tensor', 's and ', 'RaggedTensor', 's\n(see ', 'tf.ragged', ' for a\nfull listing). The term ""potentially ragged tensor"" may be used to refer to a\ntensor that might be either a ', 'Tensor', ' or a ', 'RaggedTensor', '.  The ragged-rank\nof a ', 'Tensor', ' is zero.'], ['When documenting the shape of a RaggedTensor, ragged dimensions can be\nindicated by enclosing them in parentheses.  For example, the shape of\na 3-D ', 'RaggedTensor', ' that stores the fixed-size word embedding for each\nword in a sentence, for each sentence in a batch, could be written as\n', '[num_sentences, (num_words), embedding_size]', '.  The parentheses around\n', '(num_words)', ' indicate that dimension is ragged, and that the length\nof each element list in that dimension may vary for each item.'], ['Internally, a ', 'RaggedTensor', ' consists of a concatenated list of values that\nare partitioned into variable-length rows.  In particular, each ', 'RaggedTensor', '\nconsists of:'], ['\n', 'A ', '\n', 'A ', '\n'], ['\n', 'print(tf.RaggedTensor.from_row_splits(', '\n', '      values=[3, 1, 4, 1, 5, 9, 2, 6],', '\n', '      row_splits=[0, 4, 4, 7, 8, 8]))', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n'], ['In addition to ', 'row_splits', ', ragged tensors provide support for five other\nrow-partitioning schemes:'], ['\n', 'row_lengths', '\n', 'value_rowids', '\n', 'row_starts', '\n', 'row_limits', '\n', 'uniform_row_length', '\n'], ['Example: The following ragged tensors are equivalent, and all represent the\nnested list ', '[[3, 1, 4, 1], [], [5, 9, 2], [6], []]', '.'], ['\n', 'values = [3, 1, 4, 1, 5, 9, 2, 6]', '\n', 'RaggedTensor.from_row_splits(values, row_splits=[0, 4, 4, 7, 8, 8])', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n', 'RaggedTensor.from_row_lengths(values, row_lengths=[4, 0, 3, 1, 0])', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n', 'RaggedTensor.from_value_rowids(', '\n', '    values, value_rowids=[0, 0, 0, 0, 2, 2, 2, 3], nrows=5)', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n', 'RaggedTensor.from_row_starts(values, row_starts=[0, 4, 4, 7, 8])', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n', 'RaggedTensor.from_row_limits(values, row_limits=[4, 4, 7, 8, 8])', '\n', '<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>', '\n', 'RaggedTensor.from_uniform_row_length(values, uniform_row_length=2)', '\n', '<tf.RaggedTensor [[3, 1], [4, 1], [5, 9], [2, 6]]>', '\n'], ['RaggedTensor', 's with multiple ragged dimensions can be defined by using\na nested ', 'RaggedTensor', ' for the ', 'values', ' tensor.  Each nested ', 'RaggedTensor', '\nadds a single ragged dimension.'], ['\n', 'inner_rt = RaggedTensor.from_row_splits(  # =rt1 from above', '\n', '    values=[3, 1, 4, 1, 5, 9, 2, 6], row_splits=[0, 4, 4, 7, 8, 8])', '\n', 'outer_rt = RaggedTensor.from_row_splits(', '\n', '    values=inner_rt, row_splits=[0, 3, 3, 5])', '\n', 'print(outer_rt.to_list())', '\n', '[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]', '\n', 'print(outer_rt.ragged_rank)', '\n', '2', '\n'], ['The factory function ', 'RaggedTensor.from_nested_row_splits', ' may be used to\nconstruct a ', 'RaggedTensor', ' with multiple ragged dimensions directly, by\nproviding a list of ', 'row_splits', ' tensors:'], ['\n', 'RaggedTensor.from_nested_row_splits(', '\n', '    flat_values=[3, 1, 4, 1, 5, 9, 2, 6],', '\n', '    nested_row_splits=([0, 3, 3, 5], [0, 4, 4, 7, 8, 8])).to_list()', '\n', '[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]', '\n'], ['RaggedTensor', 's with uniform inner dimensions can be defined\nby using a multidimensional ', 'Tensor', ' for ', 'values', '.'], ['\n', 'rt = RaggedTensor.from_row_splits(values=tf.ones([5, 3], tf.int32),', '\n', '                                  row_splits=[0, 2, 5])', '\n', 'print(rt.to_list())', '\n', '[[[1, 1, 1], [1, 1, 1]],', '\n', ' [[1, 1, 1], [1, 1, 1], [1, 1, 1]]]', '\n', 'print(rt.shape)', '\n', '(2, None, 3)', '\n'], ['RaggedTensor', 's with uniform outer dimensions can be defined by using\none or more ', 'RaggedTensor', ' with a ', 'uniform_row_length', ' row-partitioning\ntensor.  For example, a ', 'RaggedTensor', ' with shape ', '[2, 2, None]', ' can be\nconstructed with this method from a ', 'RaggedTensor', ' values with shape\n', '[4, None]', ':'], ['\n', 'values = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])', '\n', 'print(values.shape)', '\n', '(4, None)', '\n', 'rt6 = tf.RaggedTensor.from_uniform_row_length(values, 2)', '\n', 'print(rt6)', '\n', '<tf.RaggedTensor [[[1, 2, 3], [4]], [[5, 6], [7, 8, 9, 10]]]>', '\n', 'print(rt6.shape)', '\n', '(2, 2, None)', '\n'], ['Note that ', 'rt6', ' only contains one ragged dimension (the innermost\ndimension). In contrast, if ', 'from_row_splits', ' is used to construct a similar\n', 'RaggedTensor', ', then that ', 'RaggedTensor', ' will have two ragged dimensions:'], ['\n', 'rt7 = tf.RaggedTensor.from_row_splits(values, [0, 2, 4])', '\n', 'print(rt7.shape)', '\n', '(2, None, None)', '\n'], ['Uniform and ragged outer dimensions may be interleaved, meaning that a\ntensor with any combination of ragged and uniform dimensions may be created.\nFor example, a RaggedTensor ', 't4', ' with shape ', '[3, None, 4, 8, None, 2]', ' could\nbe constructed as follows:'], ['Concretely, if ', 'rt.values', ' is a ', 'Tensor', ', then ', 'rt.flat_values', ' is\n', 'rt.values', '; otherwise, ', 'rt.flat_values', ' is ', 'rt.values.flat_values', '.'], ['Conceptually, ', 'flat_values', ' is the tensor formed by flattening the\noutermost dimension and all of the ragged dimensions into a single\ndimension.'], ['rt.flat_values.shape = [nvals] + rt.shape[rt.ragged_rank + 1:]', '\n(where ', 'nvals', ' is the number of items in the flattened dimensions).'], ['\n', 'rt = tf.ragged.constant([[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]])', '\n', 'print(rt.flat_values)', '\n', 'tf.Tensor([3 1 4 1 5 9 2 6], shape=(8,), dtype=int32)', '\n'], ['rt.nested_row_splits', ' is a tuple containing the ', 'row_splits', ' tensors for\nall ragged dimensions in ', 'rt', ', ordered from outermost to innermost.  In\nparticular, ', 'rt.nested_row_splits = (rt.row_splits,) + value_splits', ' where:'], ['\n', 'rt = tf.ragged.constant(', '\n', '    [[[[3, 1, 4, 1], [], [5, 9, 2]], [], [[6], []]]])', '\n', 'for i, splits in enumerate(rt.nested_row_splits):', '\n', ""  print('Splits for dimension %d: %s' % (i+1, splits.numpy()))"", '\n', 'Splits for dimension 1: [0 3]', '\n', 'Splits for dimension 2: [0 3 3 5]', '\n', 'Splits for dimension 3: [0 4 4 7 8 8]', '\n'], ['\n', 'values = tf.ragged.constant([[1, 2, 3], [4], [5, 6], [7, 8, 9, 10]])', '\n', 'values.ragged_rank', '\n', '1', '\n'], ['\n', 'rt = tf.RaggedTensor.from_uniform_row_length(values, 2)', '\n', 'rt.ragged_rank', '\n', '2', '\n'], ['rt.row_splits', ' specifies where the values for each row begin and end in\n', 'rt.values', '.  In particular, the values for row ', 'rt[i]', ' are stored in\nthe slice ', 'rt.values[rt.row_splits[i]:rt.row_splits[i+1]]', '.'], ['\n', 'rt = tf.ragged.constant([[3, 1, 4, 1], [], [5, 9, 2], [6], []])', '\n', 'print(rt.row_splits)  # indices of row splits in rt.values', '\n', 'tf.Tensor([0 4 4 7 8 8], shape=(6,), dtype=int64)', '\n']]","values = [3, 1, 4, 1, 5, 9, 2, 6]
RaggedTensor.from_row_splits(values, row_splits=[0, 4, 4, 7, 8, 8])
<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>
RaggedTensor.from_row_lengths(values, row_lengths=[4, 0, 3, 1, 0])
<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>
RaggedTensor.from_value_rowids(
    values, value_rowids=[0, 0, 0, 0, 2, 2, 2, 3], nrows=5)
<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>
RaggedTensor.from_row_starts(values, row_starts=[0, 4, 4, 7, 8])
<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>
RaggedTensor.from_row_limits(values, row_limits=[4, 4, 7, 8, 8])
<tf.RaggedTensor [[3, 1, 4, 1], [], [5, 9, 2], [6], []]>
RaggedTensor.from_uniform_row_length(values, uniform_row_length=2)
<tf.RaggedTensor [[3, 1], [4, 1], [5, 9], [2, 6]]>"
"tf.RaggedTensorSpec(
    shape=None,
    dtype=tf.dtypes.float32,
    ragged_rank=None,
    row_splits_dtype=tf.dtypes.int64,
    flat_values_spec=None
)
","[['Type specification for a ', 'tf.RaggedTensor', '.'], ['Inherits From: ', 'TypeSpec', ', ', 'TraceType']]","rt = tf.ragged.constant([[""a""], [""b"", ""c""]], dtype=tf.string)
tf.type_spec_from_value(rt).dtype
tf.string"
"tf.RegisterGradient(
    op_type
)
",[],"@tf.RegisterGradient(""Sub"")
def _sub_grad(unused_op, grad):
  return grad, tf.negative(grad)
"
