API,Description,Example1,Example2,,
"
 torch. sparse_coo_tensor ( indices ,  values ,  size ,  * ,  dtype ,  device ,  requires_grad )   → ¶","Constructs a  sparse tensor in COO(rdinate) format  with specified values at the given
 indices . 
 Note 
 This function returns an  
 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> i=torch.tensor([[0,1,1],
... [2,0,2]])
>>> v=torch.tensor([3,4,5],dtype=torch.float32)
>>> torch.sparse_coo_tensor(i,v,[2,4])
tensor(indices=tensor([[0, 1, 1],
                       [2, 0, 2]]),
       values=tensor([3., 4., 5.]),
       size=(2, 4), nnz=3, layout=torch.sparse_coo)>>> torch.sparse_coo_tensor(i,v)# Shape inference
tensor(indices=tensor([[0, 1, 1],
                       [2, 0, 2]]),
       values=tensor([3., 4., 5.]),
       size=(2, 3), nnz=3, layout=torch.sparse_coo)>>> torch.sparse_coo_tensor(i,v,[2,4],
... dtype=torch.float64,
... device=torch.device('cuda:0'))
tensor(indices=tensor([[0, 1, 1],
                       [2, 0, 2]]),
       values=tensor([3., 4., 5.]),
       device='cuda:0', size=(2, 4), nnz=3, dtype=torch.float64,
       layout=torch.sparse_coo)# Create an empty sparse tensor with the following invariants:
#   1. sparse_dim + dense_dim = len(SparseTensor.shape)
#   2. SparseTensor._indices().shape = (sparse_dim, nnz)
#   3. SparseTensor._values().shape = (nnz, SparseTensor.shape[sparse_dim:])
#
# For instance, to create an empty sparse tensor with nnz = 0, dense_dim = 0 and
# sparse_dim = 1 (hence indices is a 2D tensor of shape = (1, 0))
>>> S=torch.sparse_coo_tensor(torch.empty([1,0]),[],[1])
tensor(indices=tensor([], size=(1, 0)),
       values=tensor([], size=(0,)),
       size=(1,), nnz=0, layout=torch.sparse_coo)# and to create an empty sparse tensor with nnz = 0, dense_dim = 1 and
# sparse_dim = 1
>>> S=torch.sparse_coo_tensor(torch.empty([1,0]),torch.empty([0,2]),[1,2])
tensor(indices=tensor([], size=(1, 0)),
       values=tensor([], size=(0, 2)),
       size=(1, 2), nnz=0, layout=torch.sparse_coo)
",,,
"
 torch. is_tensor ( obj ) [source] ¶","Returns True if  obj  is a PyTorch tensor. Note that this function is simply doing  isinstance(obj, .
Using that  isinstance  check is better for typechecking with mypy,
and more explicit - so it’s recommended to use that instead of
 is_tensor . 
 Parameters 
 obj 
 Example: 
",">>> x=torch.tensor([1,2,3])
>>> torch.is_tensor(x)
True
",,,
"
 torch. is_storage ( obj ) [source] ¶","Returns True if  obj  is a PyTorch storage object. 
 Parameters 
 obj 
",,,,
"
 torch. is_complex ( input ) ¶","Returns True if the data type of  input  is a complex data type i.e.,
one of  torch.complex64 , and  torch.complex128 . 
 Parameters 
 input 
",,,,
"
 torch. is_conj ( input ) ¶","Returns True if the  input  is a conjugated tensor, i.e. its conjugate bit is set to  True . 
 Parameters 
 input 
",,,,
"
 torch. is_floating_point ( input ) ¶","Returns True if the data type of  input  is a floating point data type i.e.,
one of  torch.float64 ,  torch.float32 ,  torch.float16 , and  torch.bfloat16 . 
 Parameters 
 input 
",,,,
"
 torch. is_nonzero ( input ) ¶","Returns True if the  input  is a single element tensor which is not equal to zero
after type conversions.
i.e. not equal to  torch.tensor([0.])  or  torch.tensor([0])  or
 torch.tensor([False]) .
Throws a  RuntimeError  if  torch.numel()  (even in case
of sparse tensors). 
 Parameters 
 input 
 Examples: 
",">>> torch.is_nonzero(torch.tensor([0.]))
False
>>> torch.is_nonzero(torch.tensor([1.5]))
True
>>> torch.is_nonzero(torch.tensor([False]))
False
>>> torch.is_nonzero(torch.tensor([3]))
True
>>> torch.is_nonzero(torch.tensor([1,3,5]))
Traceback (most recent call last):
...
RuntimeErrorbool value of Tensor with more than one value is ambiguous
>>> torch.is_nonzero(torch.tensor([]))
Traceback (most recent call last):
...
RuntimeErrorbool value of Tensor with no values is ambiguous
",,,
"
 torch. set_default_dtype ( d ) [source] ¶","Sets the default floating point dtype to  d . Supports torch.float32
and torch.float64 as inputs. Other dtypes may be accepted without complaint
but are not supported and are unlikely to work as expected. When PyTorch is initialized its default floating point dtype is torch.float32,
and the intent of set_default_dtype(torch.float64) is to facilitate NumPy-like
type inference. The default floating point dtype is used to: 
 Implicitly determine the default complex dtype. When the default floating point
type is float32 the default complex dtype is complex64, and when the default
floating point type is float64 the default complex type is complex128. 
 Infer the dtype for tensors constructed using Python floats or complex Python
numbers. See examples below. 
 Determine the result of type promotion between bool and integer tensors and
Python floats and complex Python numbers. 
 
 Parameters 
 d 
 Example 
 
 
",,,,
"
 torch. get_default_dtype ( )   → ¶","Get the current default floating point  torch.dtype . Example: 
",">>> torch.get_default_dtype()# initial default for floating point is torch.float32
torch.float32
>>> torch.set_default_dtype(torch.float64)
>>> torch.get_default_dtype()# default is now changed to torch.float64
torch.float64
>>> torch.set_default_tensor_type(torch.FloatTensor)# setting tensor type also affects this
>>> torch.get_default_dtype()# changed to torch.float32, the dtype for torch.FloatTensor
torch.float32
",,,
"
 torch. set_default_tensor_type ( t ) [source] ¶","Sets the default  torch.Tensor  type to floating point tensor type
 t . This type will also be used as default floating point type for
type inference in  torch.tensor() . The default floating point tensor type is initially  torch.FloatTensor . 
 Parameters 
 t 
 Example: 
",">>> torch.tensor([1.2,3]).dtype# initial default for floating point is torch.float32
torch.float32
>>> torch.set_default_tensor_type(torch.DoubleTensor)
>>> torch.tensor([1.2,3]).dtype# a new floating point tensor
torch.float64
",,,
