"
class mxnet.ndarray.CachedOp(sym, flags=())[source]Â¶","['Bases: ', 'object', '\n', 'Cached operator handle.', '\n', '\n']"
"
mxnet.ndarray.Activation(data=None, act_type=_Null, out=None, name=None, **kwargs)Â¶","['Applies an activation function element-wise to the input.', '\n', 'The following activation functions are supported:', '\n', '\n', 'relu', '\n', 'sigmoid', '\n', 'tanh', '\n', 'softrelu', '\n', 'softsign', '\n', '\n', 'Defined in src/operator/nn/activation.cc:L164', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.BatchNorm(data=None, gamma=None, beta=None, moving_mean=None, moving_var=None, eps=_Null, momentum=_Null, fix_gamma=_Null, use_global_stats=_Null, output_mean_var=_Null, axis=_Null, cudnn_off=_Null, min_calib_range=_Null, max_calib_range=_Null, out=None, name=None, **kwargs)Â¶","['Batch normalization.', '\n', 'Normalizes a data batch by mean and variance, and applies a scale ', 'gamma', ' as\nwell as offset ', 'beta', '.', '\n', 'Assume the input has more than one dimension and we normalize along axis 1.\nWe first compute the mean and variance along this axis:', '\n', '\n\\[\\begin{split}data\\_mean[i] = mean(data[:,i,:,...]) \\\\\ndata\\_var[i] = var(data[:,i,:,...])\\end{split}\\]', '\n', 'Then compute the normalized output, which has the same shape as input, as following:', '\n', '\n\\[out[:,i,:,...] = \\frac{data[:,i,:,...] - data\\_mean[i]}{\\sqrt{data\\_var[i]+\\epsilon}} * gamma[i] + beta[i]\\]', '\n', 'Both ', 'mean', ' and ', 'var', ' returns a scalar by treating the input as a vector.', '\n', 'Assume the input has size ', 'k', ' on axis 1, then both ', 'gamma', ' and ', 'beta', '\nhave shape ', '(k,)', '. If ', 'output_mean_var', ' is set to be true, then outputs both ', 'data_mean', ' and\nthe inverse of ', 'data_var', ', which are needed for the backward pass. Note that gradient of these\ntwo outputs are blocked.', '\n', 'Besides the inputs and the outputs, this operator accepts two auxiliary\nstates, ', 'moving_mean', ' and ', 'moving_var', ', which are ', 'k', '-length\nvectors. They are global statistics for the whole dataset, which are updated\nby:', '\n', None, '\n', '\n', 'If ', 'use_global_stats', ' is set to be true, then ', 'moving_mean', ' and\n', 'moving_var', ' are used instead of ', 'data_mean', ' and ', 'data_var', ' to compute\nthe output. It is often used during inference.', '\n', 'The parameter ', 'axis', ' specifies which axis of the input shape denotes\nthe â\x80\x98channelâ\x80\x99 (separately normalized groups).  The default is 1.  Specifying -1 sets the channel\naxis to be the last item in the input shape.', '\n', 'Both ', 'gamma', ' and ', 'beta', ' are learnable parameters. But if ', 'fix_gamma', ' is true,\nthen set ', 'gamma', ' to 1 and its gradient to 0.', '\n', '\n', 'Note', '\n', 'When ', '\n', '\n', 'Defined in src/operator/nn/batch_norm.cc:L608', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.BatchNorm_v1(data=None, gamma=None, beta=None, eps=_Null, momentum=_Null, fix_gamma=_Null, use_global_stats=_Null, output_mean_var=_Null, out=None, name=None, **kwargs)Â¶","['Batch normalization.', '\n', 'This operator is DEPRECATED. Perform BatchNorm on the input.', '\n', 'Normalizes a data batch by mean and variance, and applies a scale ', 'gamma', ' as\nwell as offset ', 'beta', '.', '\n', 'Assume the input has more than one dimension and we normalize along axis 1.\nWe first compute the mean and variance along this axis:', '\n', '\n\\[\\begin{split}data\\_mean[i] = mean(data[:,i,:,...]) \\\\\ndata\\_var[i] = var(data[:,i,:,...])\\end{split}\\]', '\n', 'Then compute the normalized output, which has the same shape as input, as following:', '\n', '\n\\[out[:,i,:,...] = \\frac{data[:,i,:,...] - data\\_mean[i]}{\\sqrt{data\\_var[i]+\\epsilon}} * gamma[i] + beta[i]\\]', '\n', 'Both ', 'mean', ' and ', 'var', ' returns a scalar by treating the input as a vector.', '\n', 'Assume the input has size ', 'k', ' on axis 1, then both ', 'gamma', ' and ', 'beta', '\nhave shape ', '(k,)', '. If ', 'output_mean_var', ' is set to be true, then outputs both ', 'data_mean', ' and\n', 'data_var', ' as well, which are needed for the backward pass.', '\n', 'Besides the inputs and the outputs, this operator accepts two auxiliary\nstates, ', 'moving_mean', ' and ', 'moving_var', ', which are ', 'k', '-length\nvectors. They are global statistics for the whole dataset, which are updated\nby:', '\n', None, '\n', '\n', 'If ', 'use_global_stats', ' is set to be true, then ', 'moving_mean', ' and\n', 'moving_var', ' are used instead of ', 'data_mean', ' and ', 'data_var', ' to compute\nthe output. It is often used during inference.', '\n', 'Both ', 'gamma', ' and ', 'beta', ' are learnable parameters. But if ', 'fix_gamma', ' is true,\nthen set ', 'gamma', ' to 1 and its gradient to 0.', '\n', 'Thereâ\x80\x99s no sparse support for this operator, and it will exhibit problematic behavior if used with\nsparse tensors.', '\n', 'Defined in src/operator/batch_norm_v1.cc:L94', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.BilinearSampler(data=None, grid=None, cudnn_off=_Null, out=None, name=None, **kwargs)Â¶","['Applies bilinear sampling to input feature map.', '\n', 'Bilinear Sampling is the key of  [NIPS2015] â\x80\x9cSpatial Transformer Networksâ\x80\x9d. The usage of the operator is very similar to remap function in OpenCV,\nexcept that the operator has the backward pass.', '\n', 'Given ', '\\(data\\)', ' and ', '\\(grid\\)', ', then the output is computed by', '\n', '\n\\[\\begin{split}x_{src} = grid[batch, 0, y_{dst}, x_{dst}] \\\\\ny_{src} = grid[batch, 1, y_{dst}, x_{dst}] \\\\\noutput[batch, channel, y_{dst}, x_{dst}] = G(data[batch, channel, y_{src}, x_{src})\\end{split}\\]', '\n', '\\(x_{dst}\\)', ', ', '\\(y_{dst}\\)', ' enumerate all spatial locations in ', '\\(output\\)', ', and ', '\\(G()\\)', ' denotes the bilinear interpolation kernel.\nThe out-boundary points will be padded with zeros.The shape of the output will be (data.shape[0], data.shape[1], grid.shape[2], grid.shape[3]).', '\n', 'The operator assumes that ', '\\(data\\)', ' has â\x80\x98NCHWâ\x80\x99 layout and ', '\\(grid\\)', ' has been normalized to [-1, 1].', '\n', 'BilinearSampler often cooperates with GridGenerator which generates sampling grids for BilinearSampler.\nGridGenerator supports two kinds of transformation: ', 'affine', ' and ', 'warp', '.\nIf users want to design a CustomOp to manipulate ', '\\(grid\\)', ', please firstly refer to the code of GridGenerator.', '\n', 'Example 1:', '\n', None, '\n', '\n', 'Example 2:', '\n', None, '\n', '\n', 'Defined in src/operator/bilinear_sampler.cc:L255', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.BlockGrad(data=None, out=None, name=None, **kwargs)Â¶","['Stops gradient computation.', '\n', 'Stops the accumulated gradient of the inputs from flowing through this operator\nin the backward direction. In other words, this operator prevents the contribution\nof its inputs to be taken into account for computing gradients.', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_basic.cc:L325', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.CTCLoss(data=None, label=None, data_lengths=None, label_lengths=None, use_data_lengths=_Null, use_label_lengths=_Null, blank_label=_Null, out=None, name=None, **kwargs)Â¶","['Connectionist Temporal Classification Loss.', '\n', '\n', 'Note', '\n', 'The existing alias ', '\n', '\n', 'The shapes of the inputs and outputs:', '\n', '\n', 'data', '\n', 'label', '\n', 'out', '\n', '\n', 'The ', 'data', ' tensor consists of sequences of activation vectors (without applying softmax),\nwith i-th channel in the last dimension corresponding to i-th label\nfor i between 0 and alphabet_size-1 (i.e always 0-indexed).\nAlphabet size should include one additional value reserved for blank label.\nWhen ', 'blank_label', ' is ', '""first""', ', the ', '0', '-th channel is be reserved for\nactivation of blank label, or otherwise if it is â\x80\x9clastâ\x80\x9d, ', '(alphabet_size-1)', '-th channel should be\nreserved for blank label.', '\n', 'label', ' is an index matrix of integers. When ', 'blank_label', ' is ', '""first""', ',\nthe value 0 is then reserved for blank label, and should not be passed in this matrix. Otherwise,\nwhen ', 'blank_label', ' is ', '""last""', ', the value ', '(alphabet_size-1)', ' is reserved for blank label.', '\n', 'If a sequence of labels is shorter than ', 'label_sequence_length', ', use the special\npadding value at the end of the sequence to conform it to the correct\nlength. The padding value is ', '0', ' when ', 'blank_label', ' is ', '""first""', ', and ', '-1', ' otherwise.', '\n', 'For example, suppose the vocabulary is ', '[a, b, c]', ', and in one batch we have three sequences\nâ\x80\x98baâ\x80\x99, â\x80\x98cbbâ\x80\x99, and â\x80\x98abacâ\x80\x99. When ', 'blank_label', ' is ', '""first""', ', we can index the labels as\n', '{â\x80\x98aâ\x80\x99: 1, â\x80\x98bâ\x80\x99: 2, â\x80\x98câ\x80\x99: 3}', ', and we reserve the 0-th channel for blank label in data tensor.\nThe resulting ', 'label', ' tensor should be padded to be:', '\n', None, '\n', '\n', 'When ', 'blank_label', ' is ', '""last""', ', we can index the labels as\n', '{â\x80\x98aâ\x80\x99: 0, â\x80\x98bâ\x80\x99: 1, â\x80\x98câ\x80\x99: 2}', ', and we reserve the channel index 3 for blank label in data tensor.\nThe resulting ', 'label', ' tensor should be padded to be:', '\n', None, '\n', '\n', 'out', ' is a list of CTC loss values, one per example in the batch.', '\n', 'See ', 'Connectionist Temporal Classification: Labelling Unsegmented\nSequence Data with Recurrent Neural Networks', ', A. Graves ', 'et al', '. for more\ninformation on the definition and the algorithm.', '\n', 'Defined in src/operator/nn/ctc_loss.cc:L100', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.Cast(data=None, dtype=_Null, out=None, name=None, **kwargs)Â¶","['Casts all elements of the input to a new type.', '\n', '\n', 'Note', '\n', 'Cast', '\n', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/elemwise_unary_op_basic.cc:L664', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.Concat(*data, **kwargs)Â¶","['Joins input arrays along a given axis.', '\n', '\n', 'Note', '\n', 'Concat', '\n', '\n', 'The dimensions of the input arrays should be the same except the axis along\nwhich they will be concatenated.\nThe dimension of the output array along the concatenated axis will be equal\nto the sum of the corresponding dimensions of the input arrays.', '\n', 'The storage type of ', 'concat', ' output depends on storage types of inputs', '\n', '\n', 'concat(csr, csr, â\x80¦, csr, dim=0) = csr', '\n', 'otherwise, ', '\n', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/nn/concat.cc:L384', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.Convolution(data=None, weight=None, bias=None, kernel=_Null, stride=_Null, dilate=_Null, pad=_Null, num_filter=_Null, num_group=_Null, workspace=_Null, no_bias=_Null, cudnn_tune=_Null, cudnn_off=_Null, layout=_Null, out=None, name=None, **kwargs)Â¶","['Compute ', 'N', '-D convolution on ', '(N+2)', '-D input.', '\n', 'In the 2-D convolution, given input data with shape ', '(batch_size,\nchannel, height, width)', ', the output is computed by', '\n', '\n\\[out[n,i,:,:] = bias[i] + \\sum_{j=0}^{channel} data[n,j,:,:] \\star\nweight[i,j,:,:]\\]', '\n', 'where ', '\\(\\star\\)', ' is the 2-D cross-correlation operator.', '\n', 'For general 2-D convolution, the shapes are', '\n', '\n', 'data', '\n', 'weight', '\n', 'bias', '\n', 'out', '\n', '\n', 'Define:', '\n', None, '\n', '\n', 'then we have:', '\n', None, '\n', '\n', 'If ', 'no_bias', ' is set to be true, then the ', 'bias', ' term is ignored.', '\n', 'The default data ', 'layout', ' is ', 'NCHW', ', namely ', '(batch_size, channel, height,\nwidth)', '. We can choose other layouts such as ', 'NWC', '.', '\n', 'If ', 'num_group', ' is larger than 1, denoted by ', 'g', ', then split the input ', 'data', '\nevenly into ', 'g', ' parts along the channel axis, and also evenly split ', 'weight', '\nalong the first dimension. Next compute the convolution on the ', 'i', '-th part of\nthe data with the ', 'i', '-th weight part. The output is obtained by concatenating all\nthe ', 'g', ' results.', '\n', '1-D convolution does not have ', 'height', ' dimension but only ', 'width', ' in space.', '\n', '\n', 'data', '\n', 'weight', '\n', 'bias', '\n', 'out', '\n', '\n', '3-D convolution adds an additional ', 'depth', ' dimension besides ', 'height', ' and\n', 'width', '. The shapes are', '\n', '\n', 'data', '\n', 'weight', '\n', 'bias', '\n', 'out', '\n', '\n', 'Both ', 'weight', ' and ', 'bias', ' are learnable parameters.', '\n', 'There are other options to tune the performance.', '\n', '\n', 'cudnn_tune', '\n', 'workspace', '\n', '\n', 'Defined in src/operator/nn/convolution.cc:L475', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.Convolution_v1(data=None, weight=None, bias=None, kernel=_Null, stride=_Null, dilate=_Null, pad=_Null, num_filter=_Null, num_group=_Null, workspace=_Null, no_bias=_Null, cudnn_tune=_Null, cudnn_off=_Null, layout=_Null, out=None, name=None, **kwargs)Â¶","['This operator is DEPRECATED. Apply convolution to input then add a bias.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
